Offense Type,Premise,BlockRange,StreetName,Type
Robbery,Driveway,2500-2599,WHEELER,ST
Theft,"Road, Street, or Sidewalk",3300-3399,NATCHEZ,-
Robbery,"Road, Street, or Sidewalk",3400-3499,OZARK,-
Theft,Apartment Parking Lot,2700-2799,REED,RD
Theft,Convenience Store Parking Lot,4800-4899,MARTIN LUTHER KING,BLVD
AutoTheft,Driveway,7000-7099,JAPONICA,ST
Theft,Restaurant or Cafeteria,2300-2399,SOUTHMORE BLVD,BLVD
Theft,Residence or House,3400-3499,ARBOR,ST
Theft,"Road, Street, or Sidewalk",4700-4799,EMANCIPATION AVE,-
Theft,Other Parking Lot,5200-5299,CALHOUN RD,RD
Theft,Restaurant or Cafeteria Parking Lot,3000-3099,OAKDALE STREET,-
Theft,Residence or House,3700-3799,RIO VISTA,-
Burglary,Residence or House,2400-2499,OAKDALE,-
Rape,Apartment,4400-4499,S MACGREGOR WAY,-
Theft,Driveway,4400-4499,ROSENEATH DR,-
Theft,"Multi-Plex Home (Duplex,Triplex Etc.)",100-199,WHITE OAK DR.,-
Burglary,Vacant Other Out Build/Monument/UnderConst,3700-3799,PARKWOOD,DR
Theft,Convenience Store,300-399,GEORGIA,ST
Aggravated Assault,Residence or House,2200-2299,ROSEWOOD,-
Robbery,Residence or House,3100-3199,WICHITA STREET,-
Theft,"Road, Street, or Sidewalk",4600-4699,EMANCIPATION AVE,-
Aggravated Assault,Bar or Night Club,4700-4799,EMANCIPATION,AVE
Theft,"Road, Street, or Sidewalk",2300-2399,WENTWORTH ST,ST
Theft,"Road, Street, or Sidewalk",4500-4599,KEYSTONE,-
Theft,"Road, Street, or Sidewalk",3700-3799,CHARLESTON,ST
Theft,Commercial Parking Lot or Garage,3000-3099,BLODGETT ST,ST
Burglary,Residence or House,3500-3599,P.O. BOX 20344,-
AutoTheft,Residence or House,2900-2999,ROSEDALE,-
Aggravated Assault,Apartment,6200-6299,TIERWESTER,-
